timestamp,open,high,low,close,volume
1649217600000,12.37,15.0,10.65,12.25,258175.0
1649304000000,12.0,13.85,11.55,12.8801,264911.0
1649390400000,13.12,13.5,10.77,11.0,329846.0
1649649600000,11.04,11.15,6.64,6.71,217560.0
1649736000000,7.22,7.35,4.3,4.85,333526.0
1649822400000,5.0,6.2032,4.33,5.5,252681.0
1649908800000,5.35,5.8,4.71,5.05,465518.0
1650254400000,5.13,6.4606,4.5177,5.99,874036.0
1650340800000,5.8,5.988,4.9628,5.52,234598.0
1650427200000,5.52,6.4,5.3,6.24,458960.0
1650513600000,6.2,7.21,5.83,6.2,336594.0
1650600000000,6.25,7.01,5.88,6.0,125893.0
1650859200000,5.71,6.8,5.655,6.2,153241.0
1650945600000,6.1819,6.9,5.85,6.35,225189.0
1651032000000,6.4,7.15,6.25,6.4,147969.0
1651118400000,6.5,6.655,6.12,6.58,90878.0
1651204800000,6.34,6.83,6.1,6.2,92765.0
1651464000000,6.22,6.72,5.85,5.9,61159.0
1651550400000,6.01,6.3,5.11,6.21,183708.0
1651636800000,6.26,6.457,5.7,6.32,30805.0
1651723200000,6.13,6.1564,5.48,5.73,43018.0
1651809600000,5.51,5.95,5.13,5.33,88287.0
1652068800000,5.15,5.6,5.0171,5.4685,27923.0
1652155200000,5.44,5.85,5.05,5.69,59353.0
1652241600000,5.68,5.68,4.8301,5.0,76282.0
1652328000000,4.7538,5.24,4.7538,4.97,23034.0
1652414400000,4.91,5.3175,4.75,5.07,56374.0
1652673600000,4.77,5.11,4.25,4.69,43913.0
1652760000000,4.83,4.89,4.6,4.76,14997.0
1652846400000,4.63,5.0,4.63,4.85,11753.0
1652932800000,4.91,5.0,4.55,4.86,26856.0
1653019200000,5.0,6.02,4.7394,5.29,67207.0
1653278400000,5.23,5.68,4.8201,4.99,52998.0
1653364800000,5.02,5.15,4.74,4.83,35216.0
1653451200000,4.77,5.6,4.73,5.0,37161.0
1653537600000,4.98,5.4,4.81,5.12,24984.0
1653624000000,5.01,6.4,4.97,6.38,52090.0
1653969600000,7.55,9.0,7.0,7.73,1349782.0
1654056000000,6.71,7.69,6.25,7.5,152541.0
1654142400000,7.06,8.54,6.85,8.0,87309.0
1654228800000,8.05,8.29,7.11,8.16,50504.0
1654488000000,8.0,8.93,7.08,8.0,168061.0
1654574400000,7.82,8.2,5.74,6.12,239695.0
1654660800000,6.07,6.45,5.75,6.06,75688.0
1654747200000,5.52,6.28,4.85,5.0,211518.0
1654833600000,5.0,5.835,4.925,5.17,102205.0
1655092800000,5.0,5.41,4.78,5.2,82000.0
1655179200000,5.14,5.55,4.82,5.23,95571.0
1655265600000,5.22,5.565,4.95,5.2,68512.0
1655352000000,5.01,5.33,4.48,4.75,68108.0
1655438400000,4.79,5.37,4.545,5.37,75654.0
1655784000000,5.25,5.42,5.14,5.25,11232.0
1655870400000,5.65,5.65,5.05,5.16,30057.0
1655956800000,4.89,5.38,4.89,5.3,2928.0
1656043200000,5.28,5.45,4.88,4.98,26389.0
1656302400000,4.99,5.14,4.95,5.14,2360.0
1656388800000,5.2912,5.2912,4.94,5.13,2092.0
1656475200000,5.105,5.105,5.0,5.0,651.0
1656561600000,5.05,5.26,4.94,5.25,16707.0
1656993600000,5.27,5.76,5.18,5.615,9122.0
1657080000000,5.7,5.7,5.48,5.58,14998.0
1657166400000,5.85,5.85,5.71,5.85,2330.0
1657252800000,5.89,5.95,5.3,5.87,18864.0
1657512000000,5.92,5.93,5.92,5.93,689.0
1657598400000,5.95,5.95,5.63,5.82,14733.0
1657684800000,5.815,5.83,5.19,5.4,27551.0
1657771200000,5.45,5.6157,5.13,5.55,21016.0
1657857600000,5.89,5.92,5.265,5.87,29335.0
1658116800000,5.93,5.93,5.21,5.32,30652.0
1658203200000,5.52,5.94,5.34,5.48,18731.0
1658289600000,5.53,5.69,5.2,5.53,24413.0
1658376000000,6.0,7.79,5.84,6.91,357743.0
1658462400000,6.97,8.5899,6.6,7.23,412679.0
1658721600000,7.0,7.215,6.19,7.06,70703.0
1658808000000,6.4,8.205,6.4,8.0,106793.0
1658894400000,8.34,8.93,7.05,7.71,153676.0
1658980800000,7.74,7.74,6.86,7.02,44349.0
1659067200000,6.96,7.1999,6.3,6.3,51503.0
1659326400000,6.18,7.79,5.6101,7.0,70747.0
1659412800000,7.43,7.43,6.27,6.31,16133.0
1659499200000,6.32,6.32,5.15,5.42,124562.0
1659585600000,5.31,5.4919,5.18,5.29,119467.0
1659672000000,5.16,5.4,5.16,5.38,12251.0
1659931200000,5.3724,5.7,5.2201,5.3,27922.0
1660017600000,5.3981,5.68,5.2614,5.45,25945.0
1660104000000,5.5,5.6199,5.36,5.39,31794.0
1660190400000,5.4509,5.87,5.445,5.79,17126.0
1660276800000,5.63,5.97,5.61,5.97,11762.0
1660536000000,6.2325,7.205,6.2325,7.13,88436.0
1660622400000,7.83,8.14,7.01,8.1,252448.0
1660708800000,8.15,8.93,8.0,8.44,19178.0
1660795200000,8.87,8.87,8.11,8.55,55639.0
1660881600000,8.2,8.91,8.1,8.62,119566.0
1661140800000,8.23,8.98,8.23,8.98,50671.0
1661227200000,8.7,9.19,8.7,9.0,25466.0
1661313600000,9.2,10.27,8.84,9.01,106374.0
1661400000000,9.0,9.5,8.9903,9.27,18374.0
1661486400000,9.25,9.38,8.03,8.39,53226.0
1661745600000,8.0,9.17,7.42,7.75,61127.0
1661832000000,7.99,8.18,7.2713,8.0,42668.0
1661918400000,7.72,8.25,7.72,8.06,19719.0
1662004800000,8.06,8.76,8.06,8.35,14547.0
1662091200000,8.45,8.73,8.26,8.61,36123.0
1662436800000,8.32,8.6,7.18,7.22,72840.0
1662523200000,7.2,7.75,7.2,7.2,50023.0
1662609600000,7.4,8.0301,7.4,7.83,30682.0
1662696000000,7.98,8.35,7.24,7.7,50547.0
1662955200000,7.7,8.01,7.3821,7.62,10345.0
1663041600000,7.7,7.8401,7.7,7.8,18419.0
1663128000000,7.85,7.9999,7.85,7.9999,3911.0
1663214400000,8.235,8.235,7.53,7.69,18835.0
1663300800000,7.44,7.96,7.37,7.37,14645.0
1663560000000,7.5,7.5,7.24,7.24,18538.0
1663646400000,7.33,7.42,7.33,7.4,10909.0
1663732800000,7.6,7.84,7.4,7.71,11917.0
1663819200000,7.6,7.6,7.23,7.3,5458.0
1663905600000,7.25,7.35,7.25,7.31,15763.0
1664164800000,7.19,7.45,7.0166,7.35,14388.0
1664251200000,7.3,7.41,7.1,7.33,9346.0
1664337600000,7.37,8.0,7.31,7.97,7288.0
1664424000000,7.98,8.025,7.98,7.982,3049.0
1664510400000,7.6,7.99,6.9305,7.76,2341.0
1664769600000,8.0,8.02,7.9,7.95,292492.0
1664856000000,7.3412,8.0,7.3412,8.0,7447.0
1664942400000,7.535,7.9,7.535,7.81,5328.0
1665028800000,8.0,8.16,7.94,8.0,9881.0
1665115200000,7.25,8.75,7.25,8.51,44218.0
1665374400000,8.14,8.7,8.1,8.43,32017.0
1665460800000,8.38,9.09,8.22,8.68,226067.0
1665547200000,8.74,8.96,7.87,8.37,85141.0
1665633600000,8.52,8.69,7.46,8.53,179322.0
1665720000000,8.53,9.05,8.2,8.8,16135.0
1665979200000,8.95,9.45,8.6468,9.45,11878.0
1666065600000,9.45,9.68,8.17,8.52,68483.0
1666152000000,8.28,8.82,8.1,8.13,27181.0
1666238400000,8.2,8.67,7.61,8.37,88761.0
1666324800000,8.3,8.45,7.93,8.45,28129.0
1666584000000,8.16,8.22,7.9,7.92,264979.0
1666670400000,7.85,8.2,7.75,8.2,22348.0
1666756800000,7.76,8.39,7.76,8.13,20793.0
1666843200000,8.01,8.29,7.85,8.1,15556.0
1666929600000,8.05,8.15,7.75,7.98,23690.0
1667188800000,8.12,8.24,7.76,8.24,10037.0
1667275200000,8.15,8.38,7.78,8.0,21302.0
1667361600000,7.95,8.31,7.05,7.05,28164.0
1667448000000,7.61,7.81,7.3201,7.69,10908.0
1667534400000,7.54,8.49,7.47,8.49,7155.0
1667797200000,8.24,8.25,7.65,7.81,4198.0
1667883600000,7.815,8.07,7.8,8.06,6353.0
1667970000000,8.04,8.5,8.03,8.5,10207.0
1668056400000,8.5,8.5,8.11,8.29,4278.0
1668142800000,8.4822,9.29,8.33,8.96,20633.0
1668402000000,9.0,9.37,8.98,8.98,13415.0
1668488400000,9.12,9.45,8.61,8.95,25724.0
1668574800000,8.925,9.6002,8.585,9.42,21568.0
1668661200000,9.105,9.94,9.01,9.5,33696.0
1668747600000,9.66,9.66,8.46,8.48,34394.0
1669006800000,8.51,8.745,7.89,8.3,16554.0
1669093200000,8.3,8.75,8.0,8.3,337060.0
1669179600000,8.25,8.5,8.18,8.43,30534.0
1669352400000,8.5,9.2,8.5,9.18,21110.0
1669611600000,8.74,9.45,8.64,9.08,20740.0
1669698000000,9.0,9.915,8.9,9.55,381074.0
1669784400000,9.299,9.94,9.299,9.93,15765.0
1669870800000,9.88,10.15,9.4549,10.0,29369.0
1669957200000,9.615,10.1,9.615,10.05,7182.0
1670216400000,9.9,10.07,9.2,10.07,7025.0
1670302800000,9.4,9.555,9.1697,9.33,28805.0
1670389200000,9.35,9.82,9.19,9.4,28585.0
1670475600000,9.25,9.84,9.2,9.8,13907.0
1670562000000,9.5,9.64,9.2,9.61,31972.0
1670821200000,9.5,9.72,9.2,9.72,99248.0
1670907600000,9.46,9.72,9.2,9.45,36266.0
1670994000000,9.45,9.55,9.11,9.32,8386.0
1671080400000,9.42,9.65,9.2925,9.4,21839.0
1671166800000,9.4,9.4,9.08,9.11,49634.0
1671426000000,9.25,9.5,9.08,9.35,125796.0
1671512400000,9.33,9.65,9.14,9.4,68245.0
1671598800000,9.1296,9.83,9.1296,9.83,96866.0
1671685200000,9.75,9.91,9.3,9.9,184672.0
1671771600000,9.71,10.1,9.39,10.0,119058.0
1672117200000,9.7,9.82,9.25,9.75,201226.0
1672203600000,9.7574,10.29,9.6085,10.29,69633.0
1672290000000,10.22,10.6,10.2,10.44,121809.0
1672376400000,10.59,10.59,10.1446,10.5,90469.0
1672722000000,10.6,11.175,10.5,11.025,50680.0
1672808400000,11.16,11.94,10.63,11.94,20079.0
1672894800000,11.64,12.41,11.5101,12.09,27824.0
1672981200000,12.095,12.76,12.095,12.52,18864.0
1673240400000,12.99,12.99,11.22,12.09,82270.0
1673326800000,11.77,11.99,11.3001,11.75,54413.0
1673413200000,11.55,12.45,10.9525,12.0,65832.0
1673499600000,12.0,12.0,11.44,11.89,44065.0
1673586000000,11.61,11.98,11.37,11.89,28140.0
1673931600000,11.8,12.37,11.8,12.29,48843.0
1674018000000,12.5,12.5,11.47,11.73,265925.0
1674104400000,11.75,11.75,10.95,11.39,76804.0
1674190800000,11.5,11.5,10.98,11.23,21573.0
1674450000000,11.23,11.5,10.5,11.49,809802.0
1674536400000,11.43,11.75,11.125,11.75,28980.0
1674622800000,11.75,11.97,11.48,11.97,22541.0
1674709200000,11.75,12.4999,11.33,11.54,260994.0
1674795600000,11.4,12.0998,11.3,11.95,24728.0
1675054800000,11.98,11.98,11.605,11.95,209306.0
1675141200000,11.7,12.2,11.61,11.95,42855.0
1675227600000,11.95,12.25,11.61,12.21,68872.0
1675314000000,12.25,12.46,11.78,12.05,89193.0
1675400400000,11.97,12.25,11.7,12.05,84615.0
1675659600000,12.24,12.57,11.94,12.57,174697.0
1675746000000,12.61,14.55,12.45,14.0,70915.0
1675832400000,14.0,16.0,13.15,14.7,43553.0
1675918800000,15.19,15.19,13.775,14.09,55105.0
1676005200000,13.71,14.99,13.625,14.78,101987.0
1676264400000,15.0,16.5,14.51,16.3,80615.0
1676350800000,16.69,18.17,16.01,17.63,129583.0
1676437200000,17.63,18.5,15.64,16.79,187951.0
1676523600000,16.92,18.71,16.05,18.01,422322.0
1676610000000,18.0,18.39,16.9,17.95,297242.0
1676955600000,18.16,18.35,17.5927,18.18,94457.0
1677042000000,18.12,18.9,18.0,18.53,136773.0
1677128400000,18.85,18.85,17.05,17.82,65728.0
1677214800000,17.49,18.67,17.321,18.0,73644.0
1677474000000,17.96,18.78,17.8,18.7,26275.0
1677560400000,18.25,19.9199,18.25,19.19,210572.0
1677646800000,19.51,20.62,19.51,20.0,647751.0
1677733200000,19.99,22.0,19.6,21.55,543233.0
1677819600000,22.51,22.8099,21.23,22.01,200151.0
1678078800000,22.41,23.03,21.7,22.2,119253.0
1678165200000,22.35,22.97,21.92,22.87,314398.0
1678251600000,23.0,25.32,22.51,23.7,203234.0
1678338000000,24.87,25.32,21.8451,22.19,306944.0
1678424400000,22.31,23.7571,19.77,21.34,281128.0
1678680000000,20.73,23.76,18.81,22.18,270176.0
1678766400000,22.22,23.49,19.8,19.8,127017.0
1678852800000,19.85,21.27,19.35,20.31,184279.0
1678939200000,19.97,23.56,19.9,22.25,213698.0
1679025600000,21.69,24.7699,21.63,23.14,414965.0
1679284800000,22.2,22.25,18.12,21.32,1244985.0
1679371200000,21.3,22.75,20.37,22.01,466521.0
1679457600000,22.82,22.82,20.8,21.25,129041.0
1679544000000,22.0,23.98,21.34,22.13,281723.0
1679630400000,22.13,22.18,20.14,21.02,210234.0
