timestamp,open,high,low,close,volume
1704949200000,25.3808,25.3808,25.3808,25.3808,0
1705035600000,25.465,25.465,25.465,25.465,42
1705381200000,25.14,25.14,24.9243,24.9243,245
1705467600000,24.07,24.18,24.07,24.18,298
1705554000000,24.13,24.18,24.13,24.18,200
1705640400000,23.87,24.06,23.87,24.06,225
1705899600000,23.26,23.41,23.26,23.41,3715
1705986000000,23.8453,23.8453,23.8453,23.8453,10
1706072400000,24.32,24.32,24.2624,24.2624,230
1706158800000,24.19,24.22,24.19,24.215,1730
1706245200000,23.91,23.915,23.91,23.915,325
1706504400000,23.76,23.76,23.76,23.76,22
1706590800000,23.2532,23.2532,23.2532,23.2532,10
1706677200000,22.9949,22.9949,22.9949,22.9949,20
1706763600000,23.16,23.16,23.1203,23.1203,120
1706850000000,22.6435,22.6435,22.6435,22.6435,0
1707109200000,22.55,22.55,22.4977,22.4977,1024
1707195600000,23.29,23.6601,23.29,23.6601,1315
1707282000000,23.69,23.7,23.69,23.7,540
1707368400000,23.6335,23.6335,23.6335,23.6335,10
1707454800000,23.78,23.78,23.77,23.7703,341
1707714000000,24.1225,24.1225,24.1225,24.1225,0
1707800400000,23.6219,23.6219,23.6219,23.6219,16
1707886800000,23.81,23.9466,23.81,23.9466,211
1707973200000,24.1299,24.1299,24.0458,24.0458,1037
1708059600000,24.67,24.67,24.5513,24.5513,290
1708405200000,24.2559,24.2559,24.2559,24.2559,0
1708491600000,24.68,24.68,24.5446,24.5559,1150
1708578000000,24.8475,24.8475,24.8475,24.8475,20
1708664400000,25.04,25.04,25.04,25.04,210
1708923600000,25.06,25.0645,25.06,25.0645,241
1709010000000,25.58,25.58,25.48,25.5257,2800
1709096400000,25.32,25.3723,25.32,25.3723,250
1709182800000,25.65,25.65,25.65,25.65,70
1709269200000,26.11,26.11,26.11,26.11,0
1709528400000,26.14,26.14,26.0397,26.0397,512
1709614800000,25.6,25.61,25.6,25.61,2144
1709701200000,25.97,26.0173,25.97,26.0173,200
1709787600000,25.71,25.8025,25.71,25.8025,700
1709874000000,25.72,25.72,25.72,25.72,0
1710129600000,26.3,26.3,26.2473,26.2473,300
1710216000000,26.6038,26.6038,26.6038,26.6038,0
1710302400000,26.59,26.59,26.5641,26.5641,274
1710388800000,26.3461,26.3461,26.3461,26.3461,0
1710475200000,26.4166,26.4166,26.4166,26.4166,65
1710734400000,26.49,26.49,26.4794,26.4794,411
1710820800000,26.325,26.325,26.325,26.325,50
1710907200000,26.547,26.547,26.547,26.547,45
1710993600000,26.3768,26.3768,26.3768,26.3768,0
1711080000000,26.0448,26.0448,26.0448,26.0448,20
1711339200000,26.1802,26.1802,26.1802,26.1802,0
1711425600000,25.5809,25.5809,25.5809,25.5809,0
1711512000000,25.35,25.4649,25.35,25.4649,205
1711598400000,25.51,25.58,25.51,25.5509,400
1711944000000,25.97,26.13,25.97,26.0532,921
1712030400000,26.18,26.2135,26.13,26.13,1000
1712116800000,26.15,26.28,26.15,26.275,400
1712203200000,26.48,26.5575,26.2651,26.2651,537
1712289600000,26.0606,26.0606,26.0606,26.0606,21
1712548800000,26.1187,26.1187,26.1187,26.1187,120
1712635200000,26.31,26.31,26.3066,26.3066,200
1712721600000,25.8681,25.8681,25.8681,25.8681,0
1712808000000,25.923,25.923,25.923,25.923,55
1712894400000,25.5403,25.5403,25.5403,25.5403,32
1713153600000,25.65,25.65,25.5231,25.5231,110
1713240000000,25.2168,25.2168,25.2168,25.2168,0
1713326400000,25.4,25.4,25.2955,25.2955,200
1713412800000,25.51,25.5255,25.4865,25.5255,1501
1713499200000,25.27,25.27,25.24,25.24,210
1713758400000,25.17,25.17,25.17,25.17,27
1713844800000,25.18,25.35,25.18,25.31,1216
1713931200000,25.76,25.76,25.76,25.76,2
1714017600000,25.79,25.79,25.79,25.79,84
1714104000000,26.3,26.35,26.3,26.35,100
1714363200000,26.62,26.68,26.58,26.68,285
1714449600000,26.46,26.46,26.46,26.46,77
1714536000000,26.42,26.42,26.42,26.42,76
1714622400000,26.92,27.48,26.92,27.39,1102
1714708800000,27.45,27.5833,27.45,27.5833,200
1714968000000,27.7217,27.73,27.72,27.73,402
1715054400000,27.5297,27.5297,27.5297,27.5297,9
1715140800000,27.06,27.06,27.06,27.06,2
1715227200000,27.8,27.8,27.8,27.8,10
1715313600000,27.49,27.49,27.49,27.49,52
1715572800000,27.59,27.59,27.59,27.59,2
1715659200000,27.72,27.72,27.72,27.72,30
1715745600000,27.77,27.84,27.77,27.84,202
1715832000000,28.02,28.02,28.0,28.0,202
1715918400000,28.31,28.31,28.31,28.31,2
1716177600000,27.98,27.99,27.98,27.99,252
1716264000000,27.9,27.9,27.9,27.9,12
1716350400000,27.76,27.8,27.57,27.57,23287
1716436800000,27.288,27.288,26.93,26.93,9231
1716523200000,26.85,26.85,26.85,26.85,22
1716868800000,27.18,27.23,27.18,27.23,1702
1716955200000,27.0928,27.0928,27.0928,27.0928,30
1717041600000,27.11,27.21,27.1042,27.1729,2158
1717128000000,26.96,27.05,26.84,27.05,2753
1717387200000,27.1,27.1,27.08,27.09,735
1717473600000,27.54,27.54,27.54,27.54,2
1717560000000,27.33,27.34,27.26,27.26,752
1717646400000,27.29,27.29,27.29,27.29,12
1717732800000,26.91,26.91,26.8,26.8,207
1717992000000,27.08,27.08,27.035,27.035,915
