timestamp,open,high,low,close,volume
1676350800000,0.25,0.35,0.25,0.3198,3730.0
1676437200000,0.34,0.34,0.278039,0.300101,21647.0
1676523600000,0.3013,0.49,0.3013,0.4768,3406974.0
1676610000000,0.5,0.589899,0.4,0.46,2146673.0
1676955600000,0.53,0.629,0.46,0.5198,720297.0
1677042000000,0.5,0.9699,0.5,0.78,6211101.0
1677128400000,0.99,1.08,0.5001,0.57,3241498.0
1677214800000,0.5983,0.69,0.54,0.62,1086738.0
1677474000000,0.7074,0.9,0.7074,0.7899,1074991.0
1677560400000,0.8,0.8699,0.661,0.7645,431829.0
1677646800000,0.6845,0.8,0.6414,0.7,311695.0
1677733200000,0.63,0.795,0.63,0.7499,78635.0
1677819600000,0.7658,0.7658,0.662,0.68,241179.0
1678078800000,0.7,0.71,0.62,0.6275,113771.0
1678165200000,0.610001,0.66,0.575,0.5801,341994.0
1678251600000,0.6,0.6,0.52,0.52,511620.0
1678338000000,0.6,0.8708,0.587499,0.7299,941826.0
1678424400000,0.8275,0.8499,0.7,0.77,419348.0
1678680000000,0.78,0.828975,0.6013,0.7,269639.0
1678766400000,0.72,0.745,0.65,0.745,198340.0
1678852800000,0.74,0.745,0.7,0.743,516853.0
1678939200000,0.6513,0.840087,0.6513,0.84,438725.0
1679025600000,0.85,0.89,0.7689,0.83,223899.0
1679284800000,0.8263,0.89,0.7,0.7,141807.0
1679371200000,0.71,0.7142,0.65,0.65,43695.0
1679457600000,0.650101,0.7772,0.650101,0.7297,61504.0
1679544000000,0.7449,0.7499,0.5762,0.58,169111.0
1679630400000,0.668701,0.668701,0.6,0.605,15868.0
1679889600000,0.65,0.6746,0.5982,0.65675,60261.0
1679976000000,0.6,0.6289,0.570001,0.615,38075.0
1680062400000,0.6289,0.63,0.5847,0.612501,19692.0
1680148800000,0.6,0.635,0.6,0.6052,12770.0
1680235200000,0.6229,0.6513,0.56,0.56,52645.0
1680494400000,0.58,0.639899,0.557,0.56,27252.0
1680580800000,0.56,0.566,0.5,0.5,36368.0
1680667200000,0.55,0.55,0.45,0.457,93840.0
